Gene,positivePosteriorProb,negativePosteriorProb,FDR
RBL1,0.032282682,0.195877569,0.45033064
RBL2,0.028055922,0.099149594,0.645249525
RBM15,0.027561293,0.090830303,0.670766028
RBM25,0.032165453,0.129654397,0.564178672
RBM39,0.378104055,0.990833134,0
RBM5,0.027609994,0.089193431,0.67587218
RBPJ,0.067223156,0.189356426,0.410949833
RBX1,0.025687263,0.114645309,0.611248405
RCBTB1,0.029911052,0.09926004,0.639879046
RCC1,0.311616692,0.157469779,0.194930688
RCC2,0.027685875,0.38533084,0.23991023
RCHY1,0.028174486,0.086638787,0.682602254
RCSD1,0.020360655,0.054285775,0.77952023
RDH11,0.056312819,0.383517224,0.218238385
REC8,0.062423955,0.611211707,0.072269876
RECK,0.028871773,0.100579903,0.639147545
RECQL4,0.026646675,0.076335902,0.720404429
RECQL5,0.027155107,0.081229573,0.702747859
REG4,0.026188691,0.073214917,0.732426821
RELA,0.025516585,0.060677497,0.77094172
RELB,0.026078008,0.067380706,0.752524323
RELN,0.028710822,0.120816951,0.591217977
REL,0.031036856,0.145092822,0.535857813
REPS2,0.029268408,0.159173975,0.513928684
REV1,0.035676284,0.138369534,0.539346781
REV3L,0.130440249,0.060032882,0.509477199
RFC1,0.02698943,0.163087569,0.510249819
RFC4,0.05075048,0.224722755,0.384126939
RFC5,0.14032366,0.213770295,0.291192254
RGAG1,0.019573525,0.049901278,0.781924058
RGAG4,0.025798793,0.065109929,0.759875829
RGCC,0.030890662,0.145568457,0.535115525
RGS20,0.027799657,0.095071917,0.65740102
RGS2,0.026195863,0.069760725,0.744049739
RGS4,0.025912979,0.065206596,0.759286188
RGS6,0.01996342,0.061475706,0.776483841
RHEB,0.027265711,0.083559456,0.695424036
RHOA,0.027784719,0.091001512,0.669575682
RHOB,0.030616527,0.116126952,0.597456417
RHOC,0.020658068,0.077002163,0.738106948
RHOD,0.029115194,0.109561994,0.614591853
RHOG,0.018511577,0.052703849,0.781092781
RHOH,0.020567276,0.060100992,0.776800633
RHOJ,0.025476551,0.060019588,0.77211811
RHOU,0.026615859,0.076039576,0.721490492
RHO,0.026839653,0.074771726,0.725202317
RHPN2,0.034844666,0.194251374,0.449050784
RICTOR,0.029715821,0.121647104,0.587405553
RIF1,0.035188137,0.192670395,0.450512946
RIMS2,0.040342227,0.192993923,0.443875181
RINT1,0.025821554,0.065104094,0.759762735
RIPPLY2,0.026966113,0.079514683,0.70901639
RIT2,0.026235637,0.06839941,0.748532265
RLN2,0.025706441,0.062978777,0.765761127
RLTPR,0.020595077,0.066357367,0.769741379
RNASE1,0.019875129,0.096309822,0.678075024
RND3,0.07713354,0.188345707,0.396925305
RNF19A,0.021790923,0.076653152,0.735514069
RNF20,0.999999701,0.997276049,0
RNF213,0.033880143,0.135038898,0.549057484
RNF2,0.041040035,0.227463627,0.392149685
RNF8,0.070128347,0.242706811,0.333340159
RNH1,0.017415734,0.043756401,0.785836936
RNLS,0.026200939,0.066462684,0.754834045
ROBO1,0.027184677,0.079457723,0.708388191
ROBO2,0.021327471,0.067876598,0.764502593
ROGDI,0.028118306,0.100278049,0.641855598
RORB,0.025608549,0.061455443,0.76948738
RP1L1,0.02633451,0.071181623,0.738577553
RPA1,0.236401938,0.959876872,0
RPA2,0.478852623,0.294691442,0.035069137
RPA3,0.020605253,0.068237364,0.765421519
RPE,0.025858391,0.064789942,0.760652261
RPGRIP1L,0.026059366,0.06747947,0.752254522
RPGRIP1,0.019359093,0.057259468,0.778381308
RPL22,0.027850708,0.097149117,0.6514904
RPL35,0.029627987,0.131494016,0.565659611
RPL38,0.470731681,0.086284749,0.130468332
RPN1,0.019584883,0.049673435,0.782011069
RPN2,0.020787583,0.061823212,0.775821657
RPRM,0.026025612,0.069345391,0.745950346
RPS27A,0.029955561,0.168149579,0.49550906
RPS3A,0.031119097,0.304517617,0.309218058
RPS3,0.019531617,0.055472917,0.779308097
RPS4X,0.999965091,0.999565099,0
RPS6,0.022953649,0.1429574,0.555023356
RPTOR,0.199034691,0.84242763,0
RRAD,0.025770475,0.064520832,0.761610887
RRAS2,0.04174058,0.147436676,0.51241032
RRAS,0.031323138,0.126862999,0.572476278
RRM1,0.777435456,0.988386296,0
RRM2B,0.027231645,0.078736942,0.710841899
RRM2,0.999729983,0.91872943,0
RSPH10B,0.051266879,0.346253347,0.251885189
RTEL1,0.030989199,0.123005311,0.581790703
RTN4R,0.041534667,0.178583801,0.462069237
RTN4,0.027566364,0.088021207,0.680287022
RUNX1T1,0.018925201,0.060887025,0.777146514
RUNX1,0.026628766,0.074338406,0.727152934
RUNX2,0.023114354,0.136741309,0.568687871
RUNX3,0.023871608,0.078994463,0.720728061
RUVBL1,0.100771803,0.837623326,0.00284175
RYR3,0.027128244,0.084610547,0.69264981
S100A6,0.029188527,0.11660346,0.599757231
S100A7A,0.022643646,0.079470763,0.723528848
S100A8,0.032139226,0.121731986,0.58207829
S1PR1,0.027015005,0.07499815,0.723793192
SAC3D1,0.047384391,0.262699222,0.339358632
SACS,0.251424702,0.130807882,0.264988762
SAE1,0.040830369,0.168204333,0.479306186
SAFB,0.031049846,0.148037525,0.529579875
SAMD15,0.026083028,0.068845832,0.74752879
SAP30BP,0.030177285,0.111470114,0.608818696
SART1,0.033607464,0.627833043,0.07840543
SASH1,0.02759393,0.083271702,0.695316903
SASS6,0.021922307,0.101057791,0.656962299
SAT1,0.031241169,0.092134117,0.655637068
SAT2,0.030481667,0.138641867,0.54847927
SATL1,0.025500713,0.06075204,0.770861452
SBDS,0.026669256,0.075197221,0.724451016
SBNO2,0.018818169,0.043945113,0.785236633
SCAP,0.02806608,0.085101789,0.688041644
SCGB2A1,0.049577726,0.127160742,0.534556769
SCGB3A1,0.026576395,0.071824714,0.735646126
SCN3B,0.029061805,0.103395511,0.631340864
SDAD1,0.030399998,0.148177914,0.530407874
SDC1,0.027815309,0.230870482,0.406981137
SDC2,0.028382884,0.093801677,0.659400833
SDCCAG8,0.025569089,0.061667508,0.769191916
SDHB,0.084433937,0.276648798,0.284063686
SDHC,0.270943578,0.917360942,0
SDHD,0.032052513,0.157202044,0.511994086
SEL1L,1,0.052142286,0
SELO,0.027143511,0.083780182,0.695102341
SEMA3C,0.02112695,0.076874744,0.737057887
SEMA3D,0.030385119,0.116784077,0.596623499
SEMA3F,0.025740007,0.063505692,0.764362875
SEMA4D,0.018554915,0.069045708,0.76833076
SEMA4G,0.025501819,0.06052794,0.771351996
SENP1,0.019691713,0.074708664,0.749398031
SENP5,0.025538502,0.060988104,0.770388667
SENP6,0.015382851,0.051291256,0.783393312
SEPHS1,0.032996266,0.103634734,0.620388353
SEPHS2,0.038041838,0.495074936,0.148686543
10-Sep,0.026212934,0.067623346,0.751403221
11-Sep,0.041052531,0.149625224,0.508984117
12-Sep,0.026922,0.077225493,0.716565289
01-Sep,0.027433873,0.089488252,0.6754165
02-Sep,0.021022005,0.065262097,0.770791165
03-Sep,0.026626853,0.074536958,0.726544317
04-Sep,0.017440748,0.046554619,0.784753957
05-Sep,0.028019941,0.081084082,0.700474612
06-Sep,0.432679869,0.183303243,0.100331001
07-Sep,0.03010242,0.143447933,0.540073945
09-Sep,0.029148729,0.120519595,0.590717751
SERINC3,0.025540791,0.061520353,0.769507725
SERPINA12,0.080568054,0.559716419,0.087565126
SERPINA7,0.019913063,0.0577922,0.777927439
SERPINB5,0.025532539,0.060639914,0.770991856
SERPINB9,0.026606642,0.073398287,0.730189799
SERPINE1,0.041590702,0.222902959,0.398048985
SERPINF1,0.025475957,0.060488997,0.771441817
SERPING1,0.240813372,0.392339275,0.092138673
SERPINI1,0.021022958,0.054132098,0.779240581
SESN1,0.025531753,0.060426106,0.771451792
SESN2,0.026801277,0.081935103,0.701556034
SESN3,0.036568468,0.205555742,0.430326543
SETD1A,0.026660282,0.077531527,0.716459079
SETD7,0.026053157,0.067163103,0.753231878
SETDB1,0.033902188,0.131031487,0.557300809
SETX,0.026979561,0.074415069,0.725883581
SET,0.038433372,0.29869647,0.306921249
SF3B2,0.020594529,0.066418465,0.769589064
SFN,0.027087528,0.084414896,0.693393211
SFPQ,0.034616261,0.145520068,0.527332637
SFRP1,0.02662069,0.075844443,0.722397819
SFRP2,0.032988414,0.12385926,0.575587414
SFRP4,0.035191204,0.291778478,0.318239689
SFRP5,0.029769957,0.114469731,0.602622104
SGMS2,0.02052533,0.064261168,0.773212743
SGOL1,0.150687593,0.908741972,0
SGOL2,0.026164984,0.069457964,0.74514432
SGPP2,0.025897167,0.065683918,0.758026277
SGSM3,0.026187666,0.068545525,0.748121916
SH2B3,0.017920298,0.050338935,0.782475338
SH2D1A,0.02546883,0.059896163,0.772345855
SH2D1B,0.032444811,0.116145193,0.593383173
SH3BP1,0.030165163,0.098915582,0.640077922
SH3BP4,0.019660813,0.056249401,0.778787066
SH3GL1,0.031451008,0.132081542,0.560258307
SH3GL2,0.027493793,0.087127024,0.683411613
SHANK1,0.025527785,0.061561392,0.769436498
SHC1,0.026654565,0.110787753,0.618019985
SHC2,0.026331895,0.072048676,0.735792631
SHH,0.026952213,0.079077904,0.710617753
SHOX2,0.019336887,0.046945434,0.783634616
SHPRH,0.083448108,0.266240618,0.294703556
SIAH1,0.024356827,0.165343265,0.511158861
SIAH2,0.027570247,0.087662242,0.681474205
SIN3A,0.03837856,0.131239796,0.547083323
SIPA1L1,0.018815664,0.042323465,0.785895094
SIPA1,0.019216198,0.047357217,0.783489849
SIRT1,0.064694209,0.197506265,0.400729005
SIRT2,0.02693673,0.074332736,0.726254744
SIRT5,0.049309292,0.448385975,0.171522269
SIVA1,0.026008051,0.065902026,0.757063945
SIX4,0.264909119,0.638902611,0.00692072
SKA1,0.063183954,0.229795979,0.361277358
SKA2,0.024328914,0.309591932,0.311345359
SKA3,0.042320727,0.233332057,0.383654927
SKAP1,0.02821814,0.097895266,0.648187536
SLC27A5,0.158410581,0.539216628,0.060961023
SLC2A1,0.027221183,0.085674493,0.68888283
SLC2A3,0.026193896,0.070575309,0.741270553
SLC34A2,0.025894105,0.065585321,0.758268139
SLC35E3,0.027266046,0.082732413,0.697777838
SLC45A3,0.025355673,0.058969845,0.773994572
SLC7A5,0.027846504,0.087839422,0.679994507
SLFN11,0.026495059,0.073180814,0.731498383
SLIT2,0.026375221,0.072735264,0.733301632
SLPI,0.025653165,0.062464697,0.767107287
SLU7,0.02539392,0.059275421,0.773408775
SMAD2,0.093714221,0.217698609,0.336858368
SMAD3,0.029396295,0.122317279,0.586754383
SMAD4,0.019477544,0.05119577,0.781334392
SMAD6,0.027890322,0.089175093,0.674933642
SMAD7,0.020868518,0.053671928,0.779568442
SMARCA2,0.024225914,0.078438271,0.721456727
SMARCA4,0.022576599,0.086732991,0.699816592
SMARCA5,0.051477719,0.435332736,0.181136014
SMARCB1,0.029582586,0.127527297,0.574939644
SMC1A,0.026594902,0.071594001,0.736521843
SMC1B,0.02574429,0.064598721,0.761388855
SMC2,0.025246971,0.131422704,0.576133444
SMC3,0.359721533,0.987563964,0
SMC4,0.016251595,0.078396615,0.748481077
SMC5,0.040988602,0.543904751,0.116647644
SMC6,0.019593642,0.051675218,0.781034807
SMEK1,0.025948408,0.067171308,0.753619883
SMEK2,0.027170129,0.085437753,0.689875425
SMG9,0.047916641,0.261682237,0.339772944
SMNDC1,0.997521934,0.999879636,0
SMOC1,0.028586855,0.111808515,0.611047236
SMO,0.025712686,0.063023416,0.765602094
SMPD3,0.02720331,0.087150765,0.68407409
SMPX,0.025541434,0.060941817,0.770559924
SMUG1,0.04217582,0.272621386,0.330918756
SMURF1,0.02765222,0.081233397,0.701149124
SMYD2,0.025462369,0.06006909,0.772048685
SNAI1,0.028160736,0.109977744,0.615808436
SNAI2,0.018696104,0.041368028,0.786234704
SNAI3,0.027135061,0.082843633,0.697840792
SNCA,0.021586657,0.090247609,0.69238633
SNCG,0.025649459,0.062328287,0.767471904
SNRPC,0.02712161,0.082469425,0.699113362
SNW1,0.272234513,0.847798569,0
SOCS1,0.025392553,0.059343694,0.773301003
SOCS2,0.018584849,0.053345757,0.780754705
SOD2,0.281885141,0.914941251,0
SON,0.013661397,0.037061125,0.787553094
SOS1,0.021752827,0.087247435,0.700802144
SOWAHA,0.025888496,0.066082043,0.756912299
SOX11,0.029568595,0.131567947,0.565606927
SOX2,0.025603699,0.061828438,0.768721312
SP1,0.99999731,0.995580601,0
SPA17,0.026110092,0.069310773,0.745779143
SPAG5,0.028010831,0.105253395,0.629214665
SPARC,0.025434625,0.059906736,0.772405185
SPATA2,0.022217124,0.074230697,0.742506762
SPATC1,0.026379364,0.071468656,0.737619747
SPC24,0.266477659,0.339658537,0.106032196
SPC25,0.999999929,0.833882407,0
SPDYA,0.028296818,0.083051289,0.693806532
SPDYC,0.028858852,0.105194653,0.627310454
SPDYE3,0.025443516,0.059541666,0.772908168
SPECC1L,0.026762043,0.075932504,0.721304638
SPECC1,0.025923357,0.077273583,0.719805713
SPEN,0.025601318,0.062336798,0.767534262
SPIDR,0.020221308,0.064518214,0.773291199
SPIN1,0.027225271,0.08470075,0.692056137
SPIN2A,0.019046314,0.045758767,0.784416299
SPIN2B,0.026348114,0.072783918,0.733166381
SPINK1,0.025752018,0.064231246,0.762449598
SPINK2,0.027576761,0.092121794,0.666808375
SPINK4,0.026353913,0.072642201,0.733676317
SPINK7,0.027826832,0.09154617,0.667836401
SPINK8,0.026390108,0.073293294,0.731437198
SPINK9,0.031917984,0.136146453,0.550552856
SPINT2,0.031276482,0.126679708,0.573133247
SPN,0.023920639,0.071653497,0.745263685
SPO11,0.026311757,0.069428586,0.744732015
SPOCK1,0.077060767,0.368992101,0.211895179
SPP1,0.026715755,0.073224518,0.730422013
SPRY2,0.276175788,0.092415504,0.276803876
SPTAN1,0.048111785,0.320693054,0.276637082
SRD5A1,0.026325512,0.072007777,0.735924293
SRD5A2,0.026002068,0.066126411,0.756385405
SREBF1,0.156680321,0.613130551,0.036679975
SREBF2,0.026403158,0.070443661,0.741049072
SRM,0.034699492,0.236022634,0.389961642
SRPX2,0.026368058,0.071733328,0.736782973
SRPX,0.028021622,0.098485526,0.647026252
SRRM3,0.026614567,0.075570088,0.723330148
SRSF3,0.0307801,0.128742449,0.569307847
SS18L1,0.034875679,0.134643064,0.547141719
SS18,0.023772923,0.072632312,0.742670357
SSNA1,0.036917125,0.239172987,0.382470267
SSRP1,0.794049228,0.896935165,0
SSSCA1,0.026187948,0.069030135,0.746501325
SSTR3,0.019478966,0.052358106,0.780812645
SSX1,0.025756294,0.064569216,0.761444419
SSX2,0.028715669,0.091235119,0.666045673
SSX4,0.025598891,0.062250279,0.767803985
ST3GAL1,0.020917545,0.061718331,0.775773631
ST6GAL1,0.022423272,0.105993495,0.641790153
ST6GAL2,0.018851598,0.043185681,0.785526839
ST6GALNAC5,0.026663908,0.072702183,0.7325328
STAC3,0.02821856,0.088110607,0.677602801
STAG1,0.031786956,0.129442298,0.565501506
STAG2,0.02196038,0.078320175,0.729145746
STAG3,0.034558178,0.152269801,0.51618674
STARD13,0.026118023,0.06911109,0.746448994
STARD8,0.028253357,0.105128141,0.628785579
STAT1,0.040700518,0.168501778,0.478902575
STAT3,0.060306399,0.254387824,0.331061769
STAT4,0.021561602,0.077076425,0.734821494
STAT5A,0.026593017,0.332036355,0.286022902
STAT5B,0.02802583,0.089936072,0.672205769
STAT6,0.017262098,0.04289846,0.786176399
STEAP3,0.639161092,0.998068735,0
STIL,0.021056375,0.073684532,0.748109063
STRA8,0.027039275,0.082968933,0.697756846
STRN3,0.039858386,0.173076444,0.472673413
STS,0.026836334,0.077964579,0.714474916
STT3A,0.025579339,0.061884357,0.768659752
SUFU,0.027153684,0.086784505,0.685574717
SULF1,0.019543328,0.048492992,0.782639706
SULT1C4,0.030934629,0.099816161,0.636013894
SULT1E1,0.038948382,0.170145306,0.479144832
SULT2B1,0.020367213,0.057066269,0.778023945
SULT4A1,0.026857613,0.079079226,0.710953794
SUPT16H,0.020947039,0.067781823,0.765623316
SUPT20HL1,0.032589334,0.146602969,0.529324406
SUPT5H,0.021493092,0.084814271,0.709640925
SUV39H1,0.029981125,0.122246393,0.585820114
SUV39H2,0.038073388,0.246316278,0.372446536
SUZ12,0.043829216,0.232139435,0.382944953
SWSAP1,0.026951523,0.080283357,0.706423498
SYCE1,0.017550759,0.046692252,0.784647813
SYCP1,0.021125568,0.068970182,0.762185591
SYCP2,0.023640002,0.103356036,0.645759395
SYCP3,0.025677693,0.062620958,0.766615325
SYF2,0.029751054,0.124569015,0.581069674
SYNJ2,0.247557442,0.108506574,0.288780662
SYP,0.027617219,0.082603386,0.69699853
SZT2,0.029465067,0.12298534,0.585163036
TAC1,0.02563641,0.062228421,0.767741813
TACC1,0.026148351,0.069189817,0.746029261
TACC2,0.040762503,0.109398553,0.589528971
TACC3,0.034224866,0.211219353,0.426243603
TACR3,0.032365896,0.102300608,0.62527087
TAF10,0.05017371,0.285750182,0.308913033
TAF11,0.064748613,0.328968061,0.253654481
TAF12,0.04969391,0.175504522,0.454757319
TAF15,0.026362875,0.073082724,0.732214509
TAF2,0.070472885,0.715115765,0.031492383
TAF5,0.061707388,0.246868797,0.341287153
TAF6,0.045727781,0.521422572,0.126630221
TAF7,0.028257897,0.104371006,0.630953344
TAF9,0.02751651,0.079816839,0.706189992
TAL1,0.76257858,0.997811514,0
TAL2,0.02671735,0.072541716,0.732850058
TALDO1,0.026895269,0.074953648,0.724516561
TAP2,0.026024376,0.065580552,0.757933971
TARBP2,0.026785362,0.0771327,0.717340981
TARDBP,0.629158385,0.720611572,0
TAX1BP1,0.020137943,0.06220807,0.775965688
TBC1D4,0.025485642,0.06029458,0.77170086
TBP,0.094200345,0.517772735,0.102390439
TBRG4,0.030459626,0.13541308,0.555191014
TBX22,0.019112975,0.04617186,0.78415579
TBX3,0.022409368,0.079667951,0.723644575
TBX5,0.019434125,0.048011293,0.78296834
TCEA1,0.026322962,0.070977712,0.739328529
TCERG1L,0.025828631,0.063350171,0.764577733
TCF12,0.019016169,0.044959393,0.784763611
TCF3,0.017282906,0.039599326,0.786927671
TCF7L2,0.026166229,0.068030827,0.75020536
TCL1A,0.02899295,0.108709162,0.617247824
TCOF1,0.019618597,0.051334379,0.781179763
TDGF1,0.030865949,0.127857948,0.57120569
TDP1,0.071424691,0.182016195,0.415378782
TDP2,0.025943437,0.067000779,0.754078496
TENM1,0.026393746,0.07307852,0.732153763
TERF1,0.026872397,0.077796381,0.714960975
TERF2,0.056572399,0.181904941,0.43512163
TERT,0.028214084,0.098469677,0.646584196
TES,0.028098457,0.103145449,0.634782592
TET1,0.05223254,0.180857858,0.444155225
TEX11,0.019392349,0.049856981,0.782020737
TEX29,0.025536844,0.060978251,0.770418915
TEX30,0.027998071,0.097628656,0.650049608
TFAM,0.027009824,0.079584871,0.708598005
TFAP2A,0.022297155,0.100975,0.656021292
TFDP1,0.037228908,0.373807388,0.241898872
TFDP2,0.017649559,0.047438234,0.784252287
TFE3,0.03748277,0.134359227,0.543550169
TFEB,0.016751149,0.036706758,0.787422417
TFG,0.026834053,0.077874385,0.714817195
TFPI2,0.026710388,0.076081672,0.721033716
TFPT,0.026179275,0.068491037,0.748314504
TFRC,0.019830472,0.055638535,0.779086232
TGDS,0.025839007,0.064549142,0.761244227
TGFA,0.026587689,0.074717999,0.726174166
TGFB1,0.035652906,0.110684957,0.598589241
TGFB2,0.030626197,0.136233476,0.553112661
TGFB3,0.026673606,0.075459407,0.723462657
TGFBI,0.025826417,0.063762913,0.763389567
TGM3,0.027809519,0.097850565,0.649926309
TG,0.041418016,0.187444515,0.44932554
THBD,0.026886747,0.081370172,0.703169008
THBS1,0.028530259,0.108668458,0.618481383
THBS2,0.025795361,0.064425288,0.761788113
THBS3,0.025781621,0.064558078,0.761411085
THEMIS2,0.02765044,0.089906864,0.673757223
THOC5,0.026185999,0.068596664,0.74789027
THPO,0.025705087,0.063197084,0.765208635
THRAP3,0.060804594,0.358176424,0.236094279
THRB,0.026494862,0.070128511,0.741835737
THTPA,0.026616264,0.075210219,0.724582065
TIA1,0.027156014,0.086943445,0.684967418
TIAF1,0.02550232,0.106504355,0.632427617
TIAM1,0.026327073,0.072139863,0.735425933
TIMELESS,0.515887652,0.988981214,0
TIMM23B,0.216332128,0.925572381,0
TIMP1,0.027437989,0.087335421,0.682840896
TIMP2,0.025901505,0.064710513,0.760719467
TIMP3,0.025649524,0.06244562,0.767159468
TIPIN,0.067046712,0.280323771,0.296447947
TKTL1,0.028861975,0.097621674,0.647183768
TKTL2,0.025451926,0.059866583,0.772444719
TLE1,0.028814983,0.112807116,0.608859474
TLN1,0.028738811,0.117011175,0.599843425
TLR3,0.051652351,0.21465465,0.395570739
TLR4,0.337917258,0.063068205,0.250293911
TLR9,0.025649707,0.061775014,0.768752076
TLX1,0.02597515,0.066705709,0.754774309
TLX3,0.027817891,0.081998318,0.698322264
TM6SF2,0.025460944,0.060145095,0.771919618
TMED8,0.035688495,0.17857647,0.471257266
TMEFF2,0.029052926,0.10697716,0.622195498
TMEM123,0.026851546,0.076153319,0.720267872
TMEM155,0.049666333,0.460787459,0.161662861
TMEM30A,0.200046971,0.184577263,0.262751216
TMEM57,0.031778741,0.16396731,0.499975541
TMEM8B,0.046873745,0.450167489,0.171733915
TMF1,0.028432501,0.097384747,0.649215005
TMPRSS11A,0.020800799,0.047527829,0.782436645
TMPRSS2,0.051673517,0.206483308,0.408168118
TMSB15A,0.02617471,0.07009683,0.743105218
TMSB15B,0.028468792,0.102796614,0.634713879
TNC,0.025922019,0.066059207,0.756888948
TNFAIP2,0.024108148,0.130807948,0.57971535
TNFAIP3,0.034766828,0.125476524,0.567701543
TNFAIP6,0.026582757,0.075942118,0.722096318
TNFRSF10A,0.026208646,0.070444396,0.741711962
TNFRSF10B,0.048771361,0.141820253,0.509336434
TNFRSF10C,0.028851701,0.097937387,0.646108963
TNFRSF10D,0.027081171,0.082895695,0.697861768
TNFRSF11A,0.027466184,0.083706036,0.69430499
TNFRSF11B,0.026003829,0.066587258,0.75513212
TNFRSF12A,0.025737681,0.064475825,0.761799178
TNFRSF14,0.026994915,0.079508045,0.708902447
TNFRSF17,0.026227635,0.06948282,0.744825274
TNFRSF18,0.066780456,0.185243262,0.417046312
TNFRSF19,0.019230997,0.046701654,0.783798718
TNFRSF1A,0.026312871,0.069456291,0.744585269
TNFRSF1B,0.026607165,0.077099879,0.718041205
TNFRSF21,0.149788498,0.194173076,0.299135491
TNFRSF25,0.026852055,0.078199892,0.713587068
TNFRSF4,0.026334767,0.07193178,0.736172515
TNFRSF6B,0.026707079,0.074903019,0.72521859
TNFRSF8,0.034713685,0.200255551,0.441529615
TNFRSF9,0.02577873,0.064406847,0.761843429
TNFSF10,0.028836272,0.099024908,0.643190691
TNFSF12,0.025661288,0.062921274,0.765972762
TNFSF13,0.026561335,0.074516415,0.726865101
TNFSF14,0.025744053,0.06215375,0.767679598
TNFSF15,0.025696636,0.06381689,0.763595944
TNFSF18,0.023642402,0.05550326,0.777329315
TNFSF4,0.037433219,0.157147776,0.50195512
TNFSF8,0.060989015,0.592156963,0.081377915
TNFSF9,0.052433148,0.228153655,0.377321329
TNF,0.026180362,0.068877984,0.747061997
TNKS2,0.03084075,0.153983956,0.519364006
TNN,0.025689468,0.06308813,0.765506536
TOP1,0.051283173,0.658088344,0.055087143
TOP2A,0.043188194,0.190902849,0.442845716
TOP2B,0.030042837,0.114115782,0.602791637
TOPBP1,0.027891677,0.094682486,0.658187126
TOPORS,0.025552141,0.061316321,0.76985293
TP53AIP1,0.01900959,0.045212904,0.784667115
TP53BP1,0.025639388,0.165461013,0.508206719
TP53BP2,0.076082317,0.144801467,0.461112248
TP53I3,0.027539096,0.088169333,0.67987241
TP53INP1,0.030427263,0.111233248,0.608737111
TP53,0.027439384,0.088298025,0.679627818
TP63,0.023163828,0.073460754,0.741821992
TP73,0.028577076,0.102198691,0.63597983
TPD52L1,0.027459559,0.082221478,0.698780961
TPD52L2,0.027886344,0.092158756,0.665717336
TPM3,0.024971549,0.063528568,0.766141724
TPM4,0.026472602,0.071874457,0.735895049
TPO,0.027084375,0.075548111,0.721625435
TPPP2,0.025293375,0.058020922,0.77514787
TPRG1L,0.026290165,0.068195883,0.749055243
TPR,0.030440546,0.128696522,0.570285004
TRABD,0.020245268,0.064108201,0.773936139
TRADD,0.0386601,0.144376217,0.521965569
TRAF1,0.021267803,0.058025201,0.777300425
TRAF2,0.024834736,0.075862763,0.727932485
TREH,0.029784496,0.119292967,0.592213843
TREX1,0.019542061,0.051062308,0.781353726
TREX2,0.04602484,0.171577694,0.466625619
TRIAP1,0.027112805,0.080888449,0.704026474
TRIM13,0.030151416,0.143010638,0.54097916
TRIM36,0.026165167,0.069240857,0.745831856
TRIM42,0.028612331,0.092957605,0.661285211
TRIP11,0.041161035,0.324686396,0.279789141
TRIP12,0.998235982,0.983109559,0
TRIP6,0.02604319,0.068401129,0.749220457
TRPM3,0.027074658,0.077321796,0.71578396
TRPS1,0.037038763,0.111410718,0.593651854
TSC1,0.018751976,0.042379823,0.785904783
TSC22D3,0.02641495,0.070655057,0.740059789
TSC22D4,0.029290731,0.1203256,0.591081714
TSC2,0.020855017,0.072867012,0.751761936
TSG101,0.018857909,0.043207744,0.785517158
TSHB,0.01943045,0.045441141,0.784358412
TSHR,0.022641053,0.093085207,0.679725721
TSPAN31,0.026945653,0.075869404,0.720914961
TSPEAR,0.029425034,0.089506901,0.668989603
TSPYL2,0.02709088,0.078542076,0.712066218
TSR1,0.025677247,0.063147667,0.765432151
TTC38,0.025257826,0.057896619,0.775321404
TTC5,0.027529079,0.093672984,0.661935724
TTC8,0.027973515,0.090922343,0.669203054
TTLL12,0.028168143,0.099272333,0.64428834
TTLL5,0.027007605,0.078969972,0.710785908
TTL,0.028374269,0.095907083,0.653278468
TUBA1A,0.025831624,0.064526647,0.761344379
TUBA1C,0.049241565,0.179630661,0.449233986
TUBD1,0.019781119,0.057473688,0.778091541
TUBE1,0.234393126,0.468410228,0.058479783
TUBG1,0.721391429,0.297233621,0
TUBGCP2,0.051289293,0.073618216,0.651673313
TUBGCP3,0.019629948,0.053230007,0.780358955
TUBGCP4,0.139334983,0.987793193,0
TUBGCP5,0.020444685,0.060622655,0.776627792
TUBGCP6,0.032724787,0.162510238,0.500563985
TUSC2,0.028756196,0.09387252,0.65801285
TUSC3,0.025809831,0.064993044,0.760191716
TWIST1,0.062106768,0.204962865,0.393979846
TXLNG,0.165067664,0.924847752,0
TXNIP,0.027060944,0.083077539,0.697357263
TXNL4A,0.019483679,0.052506349,0.780735389
TXNL4B,0.022847133,0.102896478,0.649555687
TXNRD2,0.02123983,0.070141925,0.758601091
TYMP,0.026017098,0.06710011,0.753668261
TYMS,0.025304109,0.058291317,0.774838788
TYRP1,0.026020142,0.065617582,0.757830006
U2AF2,0.015449125,0.055496278,0.781189429
U2SURP,0.018356151,0.037520418,0.787134527
UACA,0.042935899,0.237491782,0.377562945
UBA3,0.052616002,0.780776204,0.01893329
UBB,0.02018451,0.054250629,0.779655197
UBE2A,0.136882267,0.509001002,0.084353834
UBE2B,0.029258988,0.126288392,0.578301045
UBE2C,0.032821531,0.127970482,0.566604894
UBE2D2,0.029395668,0.111516958,0.610199642
UBE2E1,0.026496388,0.073949927,0.728674713
UBE2I,0.016531478,0.037519513,0.787332729
UBE2M,0.02650395,0.074849478,0.726012834
UBE2N,0.037588081,0.138995175,0.534805302
UBE2O,0.049033201,0.281788213,0.314360132
UBE2R2,0.025729087,0.064109577,0.762778574
UBE2V2,0.025777372,0.063920618,0.763117299
UBE3C,0.025834313,0.065066052,0.759909728
UBR5,0.047787044,0.836753093,0.009895771
UCHL1,0.026216396,0.069745421,0.744036312
UCP3,0.033391022,0.123556742,0.575139222
